model,scenario,smote,roc_auc,f1,accuracy,n_features,timestamp,type
XGBoost,sem_submodalidade,FALSE,9.303.210.120.530.110,8.644.978.967.371.000,8.477.276.875.342.210,67,2026-04-09 21:01:38.604250,baseline
XGBoost,sem_submodalidade,TRUE,9.268.288.048.753.510,8.679.597.519.301.350,8.476.729.330.169.730,67,2026-04-09 21:01:48.280996,baseline
XGBoost,submodalidade_agrupada,FALSE,9.438.745.211.875.220,880.579.476.861.167,8.645.920.788.465.040,97,2026-04-09 21:01:52.986582,baseline
XGBoost,submodalidade_agrupada,TRUE,942.459.734.190.377,8.846.486.062.033.760,8.659.426.902.719.470,97,2026-04-09 21:02:03.817310,baseline
XGBoost,submodalidade_engineered,FALSE,9.303.210.120.530.110,8.644.978.967.371.000,8.477.276.875.342.210,67,2026-04-09 21:02:08.065526,baseline
XGBoost,submodalidade_engineered,TRUE,9.268.288.048.753.510,8.679.597.519.301.350,8.476.729.330.169.730,67,2026-04-09 21:02:17.975626,baseline
KNN,sem_submodalidade,FALSE,8.108.791.784.337.220,7.782.642.446.825.020,7.393.319.948.895.780,67,2026-04-09 21:20:34.676872,baseline
KNN,sem_submodalidade,TRUE,805.661.667.770.099,7.617.285.971.517.430,7.343.310.823.142.900,67,2026-04-09 21:21:12.344328,baseline
KNN,submodalidade_agrupada,FALSE,8.112.179.562.892.410,7.786.143.409.348.460,7.397.152.765.103.120,97,2026-04-09 21:21:46.255826,baseline
KNN,submodalidade_agrupada,TRUE,8.060.854.948.274.450,7.622.086.933.752.290,7.348.056.214.637.700,97,2026-04-09 21:22:31.946160,baseline
KNN,submodalidade_engineered,FALSE,8.108.791.784.337.220,7.782.642.446.825.020,7.393.319.948.895.780,67,2026-04-09 21:22:58.824048,baseline
KNN,submodalidade_engineered,TRUE,805.661.667.770.099,7.617.285.971.517.430,7.343.310.823.142.900,67,2026-04-09 21:23:38.404142,baseline
LogisticRegression,sem_submodalidade,FALSE,6.956.784.166.063.950,44.265.574.838.319.400,562.730.425.260.084,67,2026-04-09 22:03:19.911033,baseline
LogisticRegression,sem_submodalidade,TRUE,766.061.534.808.917,7.195.617.484.001.510,6.888.665.814.929.730,67,2026-04-09 22:04:00.640689,baseline
LogisticRegression,submodalidade_agrupada,FALSE,7.700.938.967.884.860,722.597.838.424.715,6.922.248.585.508.300,97,2026-04-09 22:04:27.997263,baseline
LogisticRegression,submodalidade_agrupada,TRUE,7.686.695.765.118.020,7.217.642.615.521.030,6.907.464.865.851.430,97,2026-04-09 22:05:09.818408,baseline
